,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
CFH - Downtown Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,MI,H80CS00772
Monterey-Putnam County Health Department Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Putnam County,TN,H80CS00351
St. Joseph Neighborhood Health - Pediatric Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA,H80CS26628
Aria Community Health Center - Mobile2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Kings County,CA,H80CS08739
Family Health Center Of Southern Oklahoma,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Johnston County,OK,H80CS02454
TWIN HILLS VILLAGE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dillingham Census Area,AK,H80CS01133
LCHC @ Sheridan Elementary,Yes,Service Delivery Site,Seasonal,School,Sheboygan County,WI,H80CS24152
LACHC Street Team Admin at TPC,No,Administrative,Permanent,Unknown,Los Angeles County,CA,H80CS06674
Oro Valley Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pima County,AZ,H80CS00231
"Battenkill Valley Health Center, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Bennington County,VT,H80CS26641
White Bird Street Medicine,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Lane County,OR,H80CS00055
PrimeHealth+ Outreach Day Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mesa County,CO,H80CS28356
School District of Washburn- Washburn Elementary,Yes,Service Delivery Site,Seasonal,School,Bayfield County,WI,H80CS08784
AZA HEALTH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Johns County,FL,H80CS00081
Carevide,No,Administrative,Permanent,All Other Clinic Types,Hunt County,TX,H80CS00675
CommuniCare Health Centers - Westover Hills,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX,H80CS00672
Bolton High School Based Clinic,Yes,Service Delivery Site,Seasonal,School,Rapides Parish,LA,H80CS12857
Sebasticook Family Doctors - Dexter,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Penobscot County,ME,H80CS02448
HAWKINS VILLAGE MEDICAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA,H80CS00049
East Bay Recovery Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bristol County,RI,H80CS02329
WAIOLA CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI,H80CS00807
COMPLETE CARE COMMUNITY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS28987
MCHC - WIC Site,No,Administrative,Permanent,Unknown,Santa Cruz County,AZ,H80CS00752
Beaufort Jasper Hampton Comprehensive Health Services Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Beaufort County,SC,H80CS00699
LCHC at SPARC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00725
CAMCARE - NORTH HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Camden County,NJ,H80CS00172
Osseo - Fairchild Elementary School,Yes,Service Delivery Site,Permanent,School,Trempealeau County,WI,H80CS08784
Emlenton Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Venango County,PA,H80CS00663
LCHC Apache,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Caddo County,OK,H80CS08779
Tri-State Community Healthcare Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV,H80CS28370
Blue Ridge Health-Pisgah Forest Elementary School,Yes,Service Delivery Site,Seasonal,School,Transylvania County,NC,H80CS00650
Variety Care Anadarko,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Caddo County,OK,H80CS00543
Alcona Health Center Petoskey Child Health Associates,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Emmet County,MI,H80CS00679
"Northwest Michigan Health Services, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Benzie County,MI,H80CS00669
Sea Mar CHC - Gig Harbor 50th St Ct NW,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pierce County,WA,H80CS00445
Prospect Hill Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butler County,OH,H80CS08753
HEALTH PROMED FOUNDATION,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Guaynabo Municipio,PR,H80CS00695
Evergreen Health - Evergreen Commons,No,Administrative,Permanent,Unknown,Erie County,NY,[No Data]
Patient Pharmacy and Administration,No,Administrative,Permanent,All Other Clinic Types,Pueblo County,CO,H80CS00692
Rhonda D Hauff Resource Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yakima County,WA,H80CS06078
Colquitt Co. BOH - Ellenton Farmworker Clinic Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Colquitt County,GA,H80CS00322
DePaul Community Health Centers - Eleanor McMain Secondary School,Yes,Service Delivery Site,Seasonal,School,Orleans Parish,LA,H80CS24198
Warren Co. Elementary Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Warren County,KY,H80CS08218
Valley View Health Center - Walk-In Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lewis County,WA,H80CS04205
Blue Ridge Health-Fairview School,Yes,Service Delivery Site,Seasonal,School,Jackson County,NC,H80CS00650
"COMMUNITY HEALTH SERVICES, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Capitol Planning Region,CT,H80CS00612
"Community Health Connection, Inc. - Ellen Ochoa",Yes,Service Delivery Site,Permanent,School,Tulsa County,OK,H80CS06446
West Kendall Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL,H80CS00821
NEWCC @ Jackson Elementary,Yes,Service Delivery Site,Seasonal,School,Brown County,WI,H80CS00035
Rockbridge Area Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rockbridge County,VA,H80CS26636
CSVS - ALVIN CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monterey County,CA,H80CS00232
Westside Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI,H80CS00770
Mary Mahoney Memorial Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Oklahoma County,OK,H80CS00320
East Bay Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Newport County,RI,H80CS02329
BROADWAY CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Passaic County,NJ,H80CS00163
LCHC @ Green Tree Elementary WB,Yes,Service Delivery Site,Seasonal,School,Washington County,WI,H80CS24152
Mobile Unit #1: Care Resource Community Health Centers,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Broward County,FL,H80CS12864
Isabella Citizens for Health,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Isabella County,MI,H80CS28352
JVCHC Mobile Unit 4 (Alex),Yes,Service Delivery Site,Mobile Van,School,Greene County,MO,H80CS00275
Olson Middle School,Yes,Service Delivery Site,Seasonal,School,Hennepin County,MN,H80CS06703
VCC: Durian Senior Adult Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00282
COMMUNITY KITCHEN,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Horry County,SC,H80CS00700
Neighborhood Medical Center Lincoln Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Leon County,FL,H80CS26803
Maternity Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Broward County,FL,H80CS00019
SBHC - Hancock Middle,Yes,Service Delivery Site,Permanent,School,Hancock County,MS,H80CS00188
Beloit Area Community Health Center Behavioral Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rock County,WI,H80CS00676
Rosa Clark Medical Clinic Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oconee County,SC,H80CS30713
Cheshire REACH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gallia County,OH,H80CS00193
Circle the City Medical Respite Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS28365
King City Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gentry County,MO,H80CS00671
VALLEY HEALTH - CABELL MIDLAND HIGH SCHOOL,Yes,Service Delivery Site,Seasonal,School,Cabell County,WV,H80CS00614
Kintegra Family Medicine - Shelby Marketplace,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cleveland County,NC,H80CS00293
Audubon Area Community Care Clinic - Foust Elementary School,Yes,Service Delivery Site,Permanent,School,Daviess County,KY,H80CS30714
Paradise Elementary School-Based Clinic,Yes,Service Delivery Site,Seasonal,School,Rapides Parish,LA,H80CS12857
Coal Country Community Health Center - Beulah High School Clinic,Yes,Service Delivery Site,Seasonal,School,Mercer County,ND,H80CS09469
Katy on the Go,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Pettis County,MO,H80CS06668
NUESTRA CLINICA DEL VALLE - PSJA SBHC,Yes,Service Delivery Site,Permanent,School,Hidalgo County,TX,H80CS00209
CHASS Mack,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI,H80CS00724
Robertson County Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Robertson County,KY,H80CS00106
Outreach Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Essex County,NJ,[No Data]
CVHS-Louisa,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Louisa County,VA,H80CS00479
BRPCC Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,East Baton Rouge Parish,LA,H80CS02585
Las Islas Mobile Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ventura County,CA,H80CS00247
"G.A. Carmichael Family Health Center, Inc. Belzoni Site",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Humphreys County,MS,H80CS00484
ARcare - 157,Yes,Service Delivery Site,Permanent,All Other Clinic Types,White County,AR,H80CS00207
Children's Clinic at Sheridan,Yes,Service Delivery Site,Permanent,School,Lehigh County,PA,[No Data]
InclusivCare-Marrero,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson Parish,LA,H80CS06716
CareSouth Carolina Cheraw Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chesterfield County,SC,H80CS00654
KVHC East Millinocket Schools,Yes,Service Delivery Site,Permanent,School,Penobscot County,ME,H80CS00488
West Stafford Elementary School-SBHC,Yes,Service Delivery Site,Permanent,School,Capitol Planning Region,CT,H80CS00326
EAST CORINTH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,VT,H80CS06658
Well's Fargo 2,No,Administrative,Permanent,Unknown,Wichita County,TX,H80CS00553
Sun River Health Inwood Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY,H80CS00313
San Ysidro Health Chula Vista,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS10748
Parkersburg Family Care – Westbrook,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wood County,WV,H80CS00256
Geneva Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Geneva County,AL,H80CS00376
Wesley Health Centers - Hacienda Heights,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS06673
HCHC-El Sereno,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS26618
Citronelle Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mobile County,AL,H80CS00318
Crossroad Heath Center West,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,OH,H80CS25682
HELP CROTONA,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY,H80CS00011
AltaMed Dental Group - Mobile Unit #1,Yes,Service Delivery Site,Mobile Van,School,Orange County,CA,H80CS00142
Prevention Assessment Temporary Housing,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY,H80CS00268
CHEVAK CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kusilvak Census Area,AK,H80CS00447
Edison Elementary School,Yes,Service Delivery Site,Permanent,School,Wayne County,MI,H80CS00390
"Family Health Care Clinic, Inc., --Columbia",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,MS,H80CS00487
Genesis PrimeCare Marshall Family #2,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harrison County,TX,H80CS08781
Hmong American Peace Academy,Yes,Service Delivery Site,Seasonal,School,Milwaukee County,WI,H80CS00034
HMS Bridges to Care,No,Administrative,Permanent,All Other Clinic Types,Grant County,NM,H80CS00744
"Rural Health Medical Program, Inc - Selma Health Center and Administrative Office",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Dallas County,AL,H80CS00794
Crossroads Family Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rusk County,TX,H80CS12856
Clinica Family Health & Wellness -- Dixon Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Boulder County,CO,H80CS00690
Jennings Creek Elementary Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Warren County,KY,H80CS08218
West Marion Elementary School,Yes,Service Delivery Site,Permanent,School,McDowell County,NC,H80CS08786
Venice Family Clinic - Irma Colen Administration Suite,No,Administrative,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS04217
Fetter Mobile Medical Unit 3,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Charleston County,SC,H80CS09088
Monticello Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Wayne County,KY,H80CS08218
Turlock Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA,H80CS02588
E.B. Frink Middle School,Yes,Service Delivery Site,Permanent,School,Lenoir County,NC,H80CS00104
Vision Van #2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Lucas County,OH,H80CS04212
"HOLYOKE HEALTH CENTER, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hampden County,MA,H80CS00803
GCHC Port Arthur Park Plaza Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,TX,H80CS00408
Grace Health SBHC Hayes Lewis Elementary,Yes,Service Delivery Site,Seasonal,School,Leslie County,KY,H80CS09959
KIPP DC Webb Campus (SBMH),Yes,Service Delivery Site,Permanent,School,District of Columbia,DC,H80CS04202
JHS 126 School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,Kings County,NY,H80CS07914
"Hamilton Community Health Network, Inc. - New Main",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Genesee County,MI,H80CS00435
Dayton Way Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mercer County,PA,H80CS00663
Donald E. Gatch Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jasper County,SC,H80CS00699
"BRAZOS VALLEY COMMUNITY ACTION AGENCY, INC.",No,Administrative,Permanent,Unknown,Brazos County,TX,H80CS00299
Laboratorio Clinico MHC San Sebastián,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Sebastian Municipio,PR,H80CS00620
Thundermist Dental Admin Woonsocket,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Providence County,RI,H80CS00454
VALLEY MEDICAL,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Luzerne County,PA,H80CS00707
Granite Hill Elementary School,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA,H80CS00285
Palm Center Adult Support Services,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL,H80CS04214
Family Care North,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Collier County,FL,H80CS00735
Johnson Health Center Mobile Medical Van 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Amherst County,VA,H80CS02445
PMS - RIO RANCHO FAMILY HLTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sandoval County,NM,H80CS00205
Kid Care Connection,Yes,Service Delivery Site,Mobile Van,School,Crawford County,KS,H80CS00841
Three Oaks Public School Academy,Yes,Service Delivery Site,Permanent,School,Muskegon County,MI,H80CS00684
IHC at the Centers for the Homeless,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Joseph County,IN,H80CS00668
Family Medical Center - Thirkell Elementary-Middle School,Yes,Service Delivery Site,Permanent,School,Wayne County,MI,H80CS00390
GVHC - ROBERTSON ROAD,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA,H80CS00742
"Center for Family Health & Education, Inc. dba Priority Care Medical Group - Van Nuys",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS28984
Marjory Stoneman Douglas Elementary School (3-5),Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL,H80CS00821
